bubbleSortPassPerItem, Character, random, 124094467822525, 124094471416727, 3594202
bubbleSortPassPerItem, Character, random, 124094471491400, 124094474529819, 3038419
bubbleSortPassPerItem, Character, random, 124094474612401, 124094477544558, 2932157
bubbleSortPassPerItem, Character, random, 124094477598560, 124094480599332, 3000772
bubbleSortPassPerItem, Character, random, 124094480655762, 124094483459410, 2803648
bubbleSortPassPerItem, Character, random, 124094483496522, 124094486823331, 3326809
bubbleSortPassPerItem, Character, random, 124094486942725, 124094490070759, 3128034
bubbleSortPassPerItem, Character, random, 124094490151018, 124094493085978, 2934960
bubbleSortPassPerItem, Character, random, 124094493135023, 124094495938486, 2803463
bubbleSortPassPerItem, Character, random, 124094495978158, 124094498842283, 2864125
bubbleSortPassPerItem, Character, random, 124094498881092, 124094501739344, 2858252
bubbleSortPassPerItem, Character, random, 124094501780604, 124094505157701, 3377097
bubbleSortPassPerItem, Character, random, 124094505260782, 124094508334338, 3073556
bubbleSortPassPerItem, Character, random, 124094508412511, 124094511217223, 2804712
bubbleSortPassPerItem, Character, random, 124094511259394, 124094514140781, 2881387
bubbleSortPassPerItem, Character, random, 124094514178302, 124094517049098, 2870796
bubbleSortPassPerItem, Character, random, 124094517090116, 124094520625398, 3535282
bubbleSortPassPerItem, Character, random, 124094520734697, 124094523813423, 3078726
bubbleSortPassPerItem, Character, random, 124094523933353, 124094526965838, 3032485
bubbleSortPassPerItem, Character, random, 124094527019854, 124094530017437, 2997583
bubbleSortPassPerItem, Character, random, 124094530064987, 124094533102265, 3037278
bubbleSortPassPerItem, Character, random, 124094533198772, 124094537369872, 4171100
bubbleSortPassPerItem, Character, random, 124094537533473, 124094540868081, 3334608
bubbleSortPassPerItem, Character, random, 124094540992680, 124094543925586, 2932906
bubbleSortPassPerItem, Character, random, 124094543974936, 124094546940929, 2965993
bubbleSortPassPerItem, Character, random, 124094546984234, 124094549982764, 2998530
bubbleSortPassPerItem, Character, random, 124094550027235, 124094553820562, 3793327
bubbleSortPassPerItem, Character, random, 124094553954472, 124094557143386, 3188914
bubbleSortPassPerItem, Character, random, 124094557294989, 124094560522492, 3227503
bubbleSortPassPerItem, Character, random, 124094560621738, 124094563534104, 2912366
bubbleSortPassPerItem, Character, random, 124094563578428, 124094566546814, 2968386
bubbleSortPassPerItem, Character, random, 124094566590011, 124094570995953, 4405942
bubbleSortPassPerItem, Character, random, 124094571167422, 124094574631315, 3463893
bubbleSortPassPerItem, Character, random, 124094574774832, 124094578130723, 3355891
bubbleSortPassPerItem, Character, random, 124094578212875, 124094581332799, 3119924
bubbleSortPassPerItem, Character, random, 124094581417003, 124094584879722, 3462719
bubbleSortPassPerItem, Character, random, 124094585032817, 124094589006461, 3973644
bubbleSortPassPerItem, Character, random, 124094589153472, 124094592576611, 3423139
bubbleSortPassPerItem, Character, random, 124094592703776, 124094595675225, 2971449
bubbleSortPassPerItem, Character, sorted, 124094680604358, 124094683419922, 2815564
bubbleSortPassPerItem, Character, sorted, 124094683597744, 124094687897977, 4300233
bubbleSortPassPerItem, Character, sorted, 124094688173748, 124094691746643, 3572895
bubbleSortPassPerItem, Character, sorted, 124094691942900, 124094695014324, 3071424
bubbleSortPassPerItem, Character, sorted, 124094695077262, 124094698049992, 2972730
bubbleSortPassPerItem, Character, sorted, 124094698092098, 124094701233714, 3141616
bubbleSortPassPerItem, Character, sorted, 124094701306401, 124094705128877, 3822476
bubbleSortPassPerItem, Character, sorted, 124094705252982, 124094708349814, 3096832
bubbleSortPassPerItem, Character, sorted, 124094708448058, 124094711353856, 2905798
bubbleSortPassPerItem, Character, sorted, 124094711393035, 124094714313014, 2919979
bubbleSortPassPerItem, Character, sorted, 124094714367459, 124094717507493, 3140034
bubbleSortPassPerItem, Character, sorted, 124094717606424, 124094721169459, 3563035
bubbleSortPassPerItem, Character, sorted, 124094721270735, 124094724651374, 3380639
bubbleSortPassPerItem, Character, sorted, 124094724757008, 124094727570734, 2813726
bubbleSortPassPerItem, Character, sorted, 124094727618717, 124094730498655, 2879938
bubbleSortPassPerItem, Character, sorted, 124094730536972, 124094733431936, 2894964
bubbleSortPassPerItem, Character, sorted, 124094733468511, 124094737321299, 3852788
bubbleSortPassPerItem, Character, sorted, 124094737419815, 124094740897190, 3477375
bubbleSortPassPerItem, Character, sorted, 124094741022114, 124094743833408, 2811294
bubbleSortPassPerItem, Character, sorted, 124094743873939, 124094746770993, 2897054
bubbleSortPassPerItem, Character, sorted, 124094746808352, 124094749678840, 2870488
bubbleSortPassPerItem, Character, sorted, 124094749718362, 124094753495741, 3777379
bubbleSortPassPerItem, Character, sorted, 124094753623744, 124094756918587, 3294843
bubbleSortPassPerItem, Character, sorted, 124094757024058, 124094759985892, 2961834
bubbleSortPassPerItem, Character, sorted, 124094760127397, 124094763149148, 3021751
bubbleSortPassPerItem, Character, sorted, 124094763221421, 124094766156163, 2934742
bubbleSortPassPerItem, Character, sorted, 124094766195757, 124094769654428, 3458671
bubbleSortPassPerItem, Character, sorted, 124094769723012, 124094773173717, 3450705
bubbleSortPassPerItem, Character, sorted, 124094773274143, 124094776532029, 3257886
bubbleSortPassPerItem, Character, sorted, 124094776613258, 124094779693869, 3080611
bubbleSortPassPerItem, Character, sorted, 124094779743604, 124094782701363, 2957759
bubbleSortPassPerItem, Character, sorted, 124094782746734, 124094786631787, 3885053
bubbleSortPassPerItem, Character, sorted, 124094786788885, 124094789949225, 3160340
bubbleSortPassPerItem, Character, sorted, 124094790021084, 124094793222724, 3201640
bubbleSortPassPerItem, Character, sorted, 124094793286618, 124094796452424, 3165806
bubbleSortPassPerItem, Character, sorted, 124094796530026, 124094799339670, 2809644
bubbleSortPassPerItem, Character, sorted, 124094799392387, 124094803046383, 3653996
bubbleSortPassPerItem, Character, sorted, 124094803157698, 124094806190325, 3032627
bubbleSortPassPerItem, Character, sorted, 124094806242468, 124094809103992, 2861524
bubbleSortPassPerItem, Character, sorted, 124094809147185, 124094811953307, 2806122
bubbleSortPassPerItem, Character, sorted, 124094811991087, 124094814852922, 2861835
bubbleSortPassPerItem, Character, sorted, 124094814891125, 124094818050846, 3159721
bubbleSortPassPerItem, Character, sorted, 124094818105256, 124094821018405, 2913149
bubbleSortPassPerItem, Character, sorted, 124094821065702, 124094823947891, 2882189
bubbleSortPassPerItem, Character, sorted, 124094824009980, 124094826858865, 2848885
bubbleSortPassPerItem, Character, sorted, 124094826897836, 124094829710529, 2812693
bubbleSortPassPerItem, Character, sorted, 124094829749043, 124094832563062, 2814019
bubbleSortPassPerItem, Character, sorted, 124094832599426, 124094835405838, 2806412
bubbleSortPassPerItem, Character, sorted, 124094835437620, 124094838251632, 2814012
bubbleSortPassPerItem, Character, sorted, 124094838285946, 124094841096435, 2810489
bubbleSortPassPerItem, Character, sorted, 124094841129315, 124094843881978, 2752663
bubbleSortPassPerItem, Character, sorted, 124094843914727, 124094846652888, 2738161
bubbleSortPassPerItem, Character, sorted, 124094846688993, 124094849557796, 2868803
bubbleSortPassPerItem, Character, sorted, 124094849591226, 124094852295388, 2704162
bubbleSortPassPerItem, Character, sorted, 124094852327709, 124094855066645, 2738936
bubbleSortPassPerItem, Character, sorted, 124094855101439, 124094857915315, 2813876
bubbleSortPassPerItem, Character, sorted, 124094857952433, 124094860682976, 2730543
bubbleSortPassPerItem, Character, sorted, 124094860714495, 124094863425997, 2711502
bubbleSortPassPerItem, Character, sorted, 124094863488066, 124094866386342, 2898276
bubbleSortPassPerItem, Character, sorted, 124094866421719, 124094869241745, 2820026
bubbleSortPassPerItem, Character, sorted, 124094869275401, 124094872093067, 2817666
bubbleSortPassPerItem, Character, sorted, 124094872132421, 124094874866102, 2733681
bubbleSortPassPerItem, Character, sorted, 124094874895286, 124094878000943, 3105657
bubbleSortPassPerItem, Character, sorted, 124094878038486, 124094880866598, 2828112
bubbleSortPassPerItem, Character, sorted, 124094880903432, 124094883635062, 2731630
bubbleSortPassPerItem, Character, sorted, 124094883665629, 124094886538460, 2872831
bubbleSortPassPerItem, Character, sorted, 124094886574545, 124094889382004, 2807459
bubbleSortPassPerItem, Character, sorted, 124094889413149, 124094892256985, 2843836
bubbleSortPassPerItem, Character, sorted, 124094892292260, 124094895321236, 3028976
bubbleSortPassPerItem, Character, sorted, 124094895420183, 124094898247542, 2827359
bubbleSortPassPerItem, Character, sorted, 124094898289542, 124094901532175, 3242633
bubbleSortPassPerItem, Character, sorted, 124094901605266, 124094904501111, 2895845
bubbleSortPassPerItem, Character, sorted, 124094904538530, 124094907308373, 2769843
bubbleSortPassPerItem, Character, sorted, 124094907353113, 124094910161589, 2808476
