bubbleSortPassPerItem, Byte, random, 124244948891607, 124244952516381, 3624774
bubbleSortPassPerItem, Byte, random, 124244952575172, 124244955792753, 3217581
bubbleSortPassPerItem, Byte, random, 124244955943621, 124244959244756, 3301135
bubbleSortPassPerItem, Byte, random, 124244959339991, 124244962701781, 3361790
bubbleSortPassPerItem, Byte, random, 124244962758066, 124244965947889, 3189823
bubbleSortPassPerItem, Byte, random, 124244965993602, 124244969701766, 3708164
bubbleSortPassPerItem, Byte, random, 124244969794614, 124244973087213, 3292599
bubbleSortPassPerItem, Byte, random, 124244973170593, 124244976474308, 3303715
bubbleSortPassPerItem, Byte, random, 124244976523533, 124244979670339, 3146806
bubbleSortPassPerItem, Byte, random, 124244979713779, 124244982932346, 3218567
bubbleSortPassPerItem, Byte, random, 124244982971919, 124244987041124, 4069205
bubbleSortPassPerItem, Byte, random, 124244987095023, 124244990428834, 3333811
bubbleSortPassPerItem, Byte, random, 124244990517371, 124244993737561, 3220190
bubbleSortPassPerItem, Byte, random, 124244993782542, 124244996972155, 3189613
bubbleSortPassPerItem, Byte, random, 124244997009498, 124245000321450, 3311952
bubbleSortPassPerItem, Byte, random, 124245000427552, 124245004473543, 4045991
bubbleSortPassPerItem, Byte, random, 124245004541893, 124245007693339, 3151446
bubbleSortPassPerItem, Byte, random, 124245007761565, 124245011019976, 3258411
bubbleSortPassPerItem, Byte, random, 124245011107604, 124245014420520, 3312916
bubbleSortPassPerItem, Byte, random, 124245014460002, 124245017691416, 3231414
bubbleSortPassPerItem, Byte, random, 124245017739738, 124245021739780, 4000042
bubbleSortPassPerItem, Byte, random, 124245021821912, 124245025051299, 3229387
bubbleSortPassPerItem, Byte, random, 124245025107033, 124245028251616, 3144583
bubbleSortPassPerItem, Byte, random, 124245028309607, 124245031545257, 3235650
bubbleSortPassPerItem, Byte, random, 124245031605132, 124245035278263, 3673131
bubbleSortPassPerItem, Byte, random, 124245035351715, 124245038738458, 3386743
bubbleSortPassPerItem, Byte, random, 124245038813224, 124245042090129, 3276905
bubbleSortPassPerItem, Byte, random, 124245042139653, 124245045329416, 3189763
bubbleSortPassPerItem, Byte, random, 124245045378361, 124245048640575, 3262214
bubbleSortPassPerItem, Byte, random, 124245048689951, 124245052366732, 3676781
bubbleSortPassPerItem, Byte, random, 124245052447253, 124245055845838, 3398585
bubbleSortPassPerItem, Byte, random, 124245056095894, 124245059309178, 3213284
bubbleSortPassPerItem, Byte, random, 124245059362890, 124245062573338, 3210448
bubbleSortPassPerItem, Byte, random, 124245062622600, 124245065828203, 3205603
bubbleSortPassPerItem, Byte, random, 124245065867636, 124245069462060, 3594424
bubbleSortPassPerItem, Byte, random, 124245069551741, 124245072905080, 3353339
bubbleSortPassPerItem, Byte, random, 124245072993558, 124245076343795, 3350237
bubbleSortPassPerItem, Byte, random, 124245076392554, 124245079540079, 3147525
bubbleSortPassPerItem, Byte, random, 124245079583671, 124245083150658, 3566987
bubbleSortPassPerItem, Byte, random, 124245083235066, 124245087144261, 3909195
bubbleSortPassPerItem, Byte, random, 124245087226282, 124245090484829, 3258547
bubbleSortPassPerItem, Byte, sorted, 124245174493259, 124245177694802, 3201543
bubbleSortPassPerItem, Byte, sorted, 124245177899927, 124245181393160, 3493233
bubbleSortPassPerItem, Byte, sorted, 124245181487969, 124245185205261, 3717292
bubbleSortPassPerItem, Byte, sorted, 124245185302635, 124245188598103, 3295468
bubbleSortPassPerItem, Byte, sorted, 124245188645824, 124245191870454, 3224630
bubbleSortPassPerItem, Byte, sorted, 124245191916145, 124245195153566, 3237421
bubbleSortPassPerItem, Byte, sorted, 124245195190912, 124245198403753, 3212841
bubbleSortPassPerItem, Byte, sorted, 124245198440434, 124245201772971, 3332537
bubbleSortPassPerItem, Byte, sorted, 124245201811986, 124245205002276, 3190290
bubbleSortPassPerItem, Byte, sorted, 124245205037482, 124245208262761, 3225279
bubbleSortPassPerItem, Byte, sorted, 124245208307374, 124245211744521, 3437147
bubbleSortPassPerItem, Byte, sorted, 124245211814098, 124245215031753, 3217655
bubbleSortPassPerItem, Byte, sorted, 124245215070570, 124245218556446, 3485876
bubbleSortPassPerItem, Byte, sorted, 124245218605537, 124245221829632, 3224095
bubbleSortPassPerItem, Byte, sorted, 124245221884276, 124245225252514, 3368238
bubbleSortPassPerItem, Byte, sorted, 124245225306742, 124245228867587, 3560845
bubbleSortPassPerItem, Byte, sorted, 124245228945198, 124245232294687, 3349489
bubbleSortPassPerItem, Byte, sorted, 124245232350266, 124245235662014, 3311748
bubbleSortPassPerItem, Byte, sorted, 124245235697656, 124245238878948, 3181292
bubbleSortPassPerItem, Byte, sorted, 124245238915717, 124245242069251, 3153534
bubbleSortPassPerItem, Byte, sorted, 124245242106977, 124245245251010, 3144033
bubbleSortPassPerItem, Byte, sorted, 124245245284965, 124245248427808, 3142843
bubbleSortPassPerItem, Byte, sorted, 124245248460295, 124245251701056, 3240761
bubbleSortPassPerItem, Byte, sorted, 124245251736497, 124245254919289, 3182792
bubbleSortPassPerItem, Byte, sorted, 124245254953351, 124245258140978, 3187627
bubbleSortPassPerItem, Byte, sorted, 124245258173592, 124245261322786, 3149194
bubbleSortPassPerItem, Byte, sorted, 124245261361782, 124245264506092, 3144310
bubbleSortPassPerItem, Byte, sorted, 124245264539112, 124245267638352, 3099240
bubbleSortPassPerItem, Byte, sorted, 124245267669054, 124245270786048, 3116994
bubbleSortPassPerItem, Byte, sorted, 124245270823582, 124245273883733, 3060151
bubbleSortPassPerItem, Byte, sorted, 124245273915832, 124245277015425, 3099593
bubbleSortPassPerItem, Byte, sorted, 124245277055940, 124245280090246, 3034306
bubbleSortPassPerItem, Byte, sorted, 124245280121739, 124245283155239, 3033500
bubbleSortPassPerItem, Byte, sorted, 124245283188217, 124245286290593, 3102376
bubbleSortPassPerItem, Byte, sorted, 124245286323497, 124245289391569, 3068072
bubbleSortPassPerItem, Byte, sorted, 124245289430304, 124245292538275, 3107971
bubbleSortPassPerItem, Byte, sorted, 124245292586448, 124245295689272, 3102824
bubbleSortPassPerItem, Byte, sorted, 124245295745656, 124245298843610, 3097954
bubbleSortPassPerItem, Byte, sorted, 124245298877332, 124245301926970, 3049638
bubbleSortPassPerItem, Byte, sorted, 124245301960835, 124245304907643, 2946808
bubbleSortPassPerItem, Byte, sorted, 124245304937279, 124245307852946, 2915667
bubbleSortPassPerItem, Byte, sorted, 124245307881876, 124245310806376, 2924500
bubbleSortPassPerItem, Byte, sorted, 124245310844353, 124245313792239, 2947886
bubbleSortPassPerItem, Byte, sorted, 124245313828332, 124245316871135, 3042803
bubbleSortPassPerItem, Byte, sorted, 124245316910746, 124245319866844, 2956098
bubbleSortPassPerItem, Byte, sorted, 124245319895385, 124245322874910, 2979525
bubbleSortPassPerItem, Byte, sorted, 124245322910555, 124245325876780, 2966225
bubbleSortPassPerItem, Byte, sorted, 124245325909671, 124245328883960, 2974289
bubbleSortPassPerItem, Byte, sorted, 124245328915781, 124245331898266, 2982485
bubbleSortPassPerItem, Byte, sorted, 124245331931597, 124245334906712, 2975115
bubbleSortPassPerItem, Byte, sorted, 124245334936899, 124245337887468, 2950569
bubbleSortPassPerItem, Byte, sorted, 124245337921311, 124245341096650, 3175339
bubbleSortPassPerItem, Byte, sorted, 124245341132878, 124245344103531, 2970653
bubbleSortPassPerItem, Byte, sorted, 124245344148294, 124245347037171, 2888877
bubbleSortPassPerItem, Byte, sorted, 124245347065646, 124245349967785, 2902139
bubbleSortPassPerItem, Byte, sorted, 124245349996319, 124245353611569, 3615250
bubbleSortPassPerItem, Byte, sorted, 124245353674502, 124245356838290, 3163788
bubbleSortPassPerItem, Byte, sorted, 124245356898554, 124245360145102, 3246548
bubbleSortPassPerItem, Byte, sorted, 124245360181041, 124245363339200, 3158159
bubbleSortPassPerItem, Byte, sorted, 124245363379755, 124245366532081, 3152326
bubbleSortPassPerItem, Byte, sorted, 124245366565069, 124245369762873, 3197804
bubbleSortPassPerItem, Byte, sorted, 124245369797628, 124245372986868, 3189240
bubbleSortPassPerItem, Byte, sorted, 124245373028103, 124245376165998, 3137895
bubbleSortPassPerItem, Byte, sorted, 124245376200201, 124245379254903, 3054702
bubbleSortPassPerItem, Byte, sorted, 124245379286291, 124245382352423, 3066132
bubbleSortPassPerItem, Byte, sorted, 124245382388094, 124245385573518, 3185424
bubbleSortPassPerItem, Byte, sorted, 124245385605871, 124245388663916, 3058045
bubbleSortPassPerItem, Byte, sorted, 124245388696400, 124245391772331, 3075931
bubbleSortPassPerItem, Byte, sorted, 124245391815826, 124245394932246, 3116420
bubbleSortPassPerItem, Byte, sorted, 124245394971128, 124245398031180, 3060052
bubbleSortPassPerItem, Byte, sorted, 124245398062928, 124245401191001, 3128073
bubbleSortPassPerItem, Byte, sorted, 124245401227078, 124245404256133, 3029055
bubbleSortPassPerItem, Byte, sorted, 124245404287623, 124245407207160, 2919537
bubbleSortPassPerItem, Byte, sorted, 124245407235290, 124245410193620, 2958330
bubbleSortPassPerItem, Byte, sorted, 124245410225055, 124245413220198, 2995143
bubbleSortPassPerItem, Byte, sorted, 124245413253365, 124245416281382, 3028017
bubbleSortPassPerItem, Byte, sorted, 124245416313315, 124245419270406, 2957091
bubbleSortPassPerItem, Byte, sorted, 124245419299501, 124245422255388, 2955887
bubbleSortPassPerItem, Byte, sorted, 124245422291291, 124245425256892, 2965601
bubbleSortPassPerItem, Byte, sorted, 124245425290419, 124245428262337, 2971918
bubbleSortPassPerItem, Byte, sorted, 124245428297551, 124245431310712, 3013161
bubbleSortPassPerItem, Byte, sorted, 124245431346189, 124245434645633, 3299444
bubbleSortPassPerItem, Byte, sorted, 124245434706766, 124245438048773, 3342007
bubbleSortPassPerItem, Byte, sorted, 124245438097391, 124245441353125, 3255734
bubbleSortPassPerItem, Byte, sorted, 124245441395726, 124245444645386, 3249660
bubbleSortPassPerItem, Byte, sorted, 124245444682872, 124245447969548, 3286676
bubbleSortPassPerItem, Byte, sorted, 124245448037786, 124245451363540, 3325754
bubbleSortPassPerItem, Byte, sorted, 124245451405039, 124245454689596, 3284557
bubbleSortPassPerItem, Byte, sorted, 124245454729205, 124245458114270, 3385065
bubbleSortPassPerItem, Byte, sorted, 124245458156029, 124245461363956, 3207927
bubbleSortPassPerItem, Byte, sorted, 124245461402699, 124245464617283, 3214584
bubbleSortPassPerItem, Byte, sorted, 124245464650312, 124245467907547, 3257235
bubbleSortPassPerItem, Byte, sorted, 124245467946266, 124245471568618, 3622352
bubbleSortPassPerItem, Byte, sorted, 124245471615420, 124245474825920, 3210500
bubbleSortPassPerItem, Byte, sorted, 124245474870574, 124245478101745, 3231171
bubbleSortPassPerItem, Byte, sorted, 124245478151264, 124245481368910, 3217646
bubbleSortPassPerItem, Byte, sorted, 124245481416598, 124245484628849, 3212251
bubbleSortPassPerItem, Byte, sorted, 124245484666364, 124245487805798, 3139434
bubbleSortPassPerItem, Byte, sorted, 124245487836488, 124245491048976, 3212488
bubbleSortPassPerItem, Byte, sorted, 124245491087341, 124245494309268, 3221927
bubbleSortPassPerItem, Byte, sorted, 124245494345857, 124245497552718, 3206861
bubbleSortPassPerItem, Byte, sorted, 124245497587274, 124245500718083, 3130809
bubbleSortPassPerItem, Byte, sorted, 124245500754903, 124245503853769, 3098866
bubbleSortPassPerItem, Byte, sorted, 124245503887964, 124245507032003, 3144039
bubbleSortPassPerItem, Byte, sorted, 124245507068695, 124245510189812, 3121117
bubbleSortPassPerItem, Byte, sorted, 124245510223226, 124245513354548, 3131322
bubbleSortPassPerItem, Byte, sorted, 124245513390495, 124245516499627, 3109132
bubbleSortPassPerItem, Byte, sorted, 124245516532367, 124245519586726, 3054359
bubbleSortPassPerItem, Byte, sorted, 124245519615937, 124245522877638, 3261701
bubbleSortPassPerItem, Byte, sorted, 124245522924282, 124245526084158, 3159876
bubbleSortPassPerItem, Byte, sorted, 124245526118075, 124245529244636, 3126561
bubbleSortPassPerItem, Byte, sorted, 124245529279432, 124245532389042, 3109610
bubbleSortPassPerItem, Byte, sorted, 124245532436267, 124245535482742, 3046475
bubbleSortPassPerItem, Byte, sorted, 124245535511907, 124245538467846, 2955939
bubbleSortPassPerItem, Byte, sorted, 124245538505563, 124245541518119, 3012556
bubbleSortPassPerItem, Byte, sorted, 124245541554673, 124245544586324, 3031651
bubbleSortPassPerItem, Byte, sorted, 124245544656603, 124245548233045, 3576442
bubbleSortPassPerItem, Byte, sorted, 124245548274370, 124245551583546, 3309176
bubbleSortPassPerItem, Byte, sorted, 124245551614026, 124245554808294, 3194268
bubbleSortPassPerItem, Byte, sorted, 124245554841756, 124245557788028, 2946272
bubbleSortPassPerItem, Byte, sorted, 124245557849298, 124245560822455, 2973157
bubbleSortPassPerItem, Byte, sorted, 124245560862285, 124245563808364, 2946079
bubbleSortPassPerItem, Byte, sorted, 124245563838765, 124245566862372, 3023607
bubbleSortPassPerItem, Byte, sorted, 124245566888578, 124245569851717, 2963139
bubbleSortPassPerItem, Byte, sorted, 124245569883891, 124245573035878, 3151987
bubbleSortPassPerItem, Byte, partSorted, 124245655840720, 124245659785366, 3944646
bubbleSortPassPerItem, Byte, partSorted, 124245659947934, 124245664170282, 4222348
bubbleSortPassPerItem, Byte, partSorted, 124245664279012, 124245668532442, 4253430
bubbleSortPassPerItem, Byte, partSorted, 124245668676456, 124245672298377, 3621921
bubbleSortPassPerItem, Byte, partSorted, 124245672474722, 124245675821880, 3347158
bubbleSortPassPerItem, Byte, partSorted, 124245675910675, 124245679937061, 4026386
bubbleSortPassPerItem, Byte, partSorted, 124245680106349, 124245683819071, 3712722
bubbleSortPassPerItem, Byte, partSorted, 124245683968089, 124245687373120, 3405031
bubbleSortPassPerItem, Byte, partSorted, 124245687432358, 124245690733881, 3301523
bubbleSortPassPerItem, Byte, partSorted, 124245690787965, 124245694132225, 3344260
bubbleSortPassPerItem, Byte, partSorted, 124245694173892, 124245697434258, 3260366
bubbleSortPassPerItem, Byte, partSorted, 124245697476454, 124245700980658, 3504204
bubbleSortPassPerItem, Byte, partSorted, 124245701031161, 124245704380426, 3349265
bubbleSortPassPerItem, Byte, partSorted, 124245704420297, 124245707659530, 3239233
bubbleSortPassPerItem, Byte, partSorted, 124245707696705, 124245710939081, 3242376
bubbleSortPassPerItem, Byte, partSorted, 124245710981263, 124245714242882, 3261619
bubbleSortPassPerItem, Byte, partSorted, 124245714291730, 124245717588469, 3296739
bubbleSortPassPerItem, Byte, partSorted, 124245717641077, 124245720854476, 3213399
bubbleSortPassPerItem, Byte, partSorted, 124245720894035, 124245724111676, 3217641
bubbleSortPassPerItem, Byte, partSorted, 124245724153676, 124245727317606, 3163930
