bubbleSortPassPerItem, int, random, 126540016550446, 126540366835321, 350284875
bubbleSortPassPerItem, int, random, 126540366974348, 126540717305141, 350330793
bubbleSortPassPerItem, int, random, 126540717487423, 126541065010390, 347522967
bubbleSortPassPerItem, int, random, 126541065148079, 126541414910718, 349762639
bubbleSortPassPerItem, int, random, 126541415054549, 126541766425268, 351370719
bubbleSortPassPerItem, int, random, 126541766564241, 126542117304952, 350740711
bubbleSortPassPerItem, int, random, 126542117441412, 126542466798532, 349357120
bubbleSortPassPerItem, int, random, 126542466932761, 126542819377692, 352444931
bubbleSortPassPerItem, int, random, 126542819518433, 126543169834440, 350316007
bubbleSortPassPerItem, int, random, 126543170086818, 126543519627705, 349540887
bubbleSortPassPerItem, int, random, 126543519760894, 126543871807408, 352046514
bubbleSortPassPerItem, int, random, 126543871963435, 126544237013244, 365049809
bubbleSortPassPerItem, int, random, 126544237149890, 126544585490604, 348340714
bubbleSortPassPerItem, int, random, 126544585625511, 126544953084265, 367458754
bubbleSortPassPerItem, int, random, 126544953248791, 126545300207476, 346958685
bubbleSortPassPerItem, int, random, 126545300353586, 126545648328903, 347975317
bubbleSortPassPerItem, int, random, 126545648460275, 126545999304128, 350843853
bubbleSortPassPerItem, int, random, 126545999441039, 126546348522508, 349081469
bubbleSortPassPerItem, int, random, 126546348651043, 126546697829740, 349178697
bubbleSortPassPerItem, int, random, 126546697954972, 126547049188697, 351233725
bubbleSortPassPerItem, int, random, 126547049342269, 126547402210413, 352868144
bubbleSortPassPerItem, int, random, 126547402347730, 126547754627309, 352279579
bubbleSortPassPerItem, int, random, 126547754768558, 126548108842151, 354073593
bubbleSortPassPerItem, int, random, 126548109148004, 126548461639793, 352491789
bubbleSortPassPerItem, int, random, 126548461802774, 126548812575399, 350772625
bubbleSortPassPerItem, int, random, 126548812695582, 126549176917509, 364221927
bubbleSortPassPerItem, int, random, 126549177060079, 126549525344271, 348284192
bubbleSortPassPerItem, int, random, 126549525481770, 126549873857080, 348375310
bubbleSortPassPerItem, int, random, 126549873977944, 126550226798561, 352820617
bubbleSortPassPerItem, int, random, 126550227051019, 126550572935603, 345884584
bubbleSortPassPerItem, int, random, 126550573072614, 126550922095703, 349023089
bubbleSortPassPerItem, int, random, 126550922258270, 126551273375820, 351117550
bubbleSortPassPerItem, int, random, 126551273516819, 126551625058083, 351541264
bubbleSortPassPerItem, int, random, 126551625165112, 126551975361119, 350196007
bubbleSortPassPerItem, int, random, 126551975483336, 126552326542324, 351058988
bubbleSortPassPerItem, int, random, 126552326679322, 126552676465378, 349786056
bubbleSortPassPerItem, int, random, 126552676579202, 126553026340681, 349761479
