bubbleSortPassPerItem, Double, random, 128780564725791, 128780980582500, 415856709
bubbleSortPassPerItem, Double, random, 128780980732738, 128781392436567, 411703829
bubbleSortPassPerItem, Double, random, 128781392575114, 128781803877608, 411302494
bubbleSortPassPerItem, Double, random, 128781804022734, 128782218994825, 414972091
bubbleSortPassPerItem, Double, random, 128782219122056, 128782630258212, 411136156
bubbleSortPassPerItem, Double, random, 128782630431726, 128783042613568, 412181842
bubbleSortPassPerItem, Double, random, 128783042755035, 128783455859604, 413104569
bubbleSortPassPerItem, Double, random, 128783455995914, 128783868973232, 412977318
bubbleSortPassPerItem, Double, random, 128783869104490, 128784286765434, 417660944
bubbleSortPassPerItem, Double, random, 128784286912395, 128784698689902, 411777507
bubbleSortPassPerItem, Double, random, 128784698833036, 128785114014717, 415181681
bubbleSortPassPerItem, Double, random, 128785114167513, 128785526061418, 411893905
bubbleSortPassPerItem, Double, random, 128785526201416, 128785936133191, 409931775
bubbleSortPassPerItem, Double, random, 128785936276283, 128786348577305, 412301022
bubbleSortPassPerItem, Double, random, 128786348723791, 128786756695088, 407971297
bubbleSortPassPerItem, Double, random, 128786756847239, 128787165082035, 408234796
bubbleSortPassPerItem, Double, random, 128787165235149, 128787572705843, 407470694
bubbleSortPassPerItem, Double, random, 128787572836041, 128787980858364, 408022323
bubbleSortPassPerItem, Double, random, 128787981030059, 128788394873387, 413843328
bubbleSortPassPerItem, Double, random, 128788395030147, 128788809627688, 414597541
bubbleSortPassPerItem, Double, random, 128788809758598, 128789249603008, 439844410
bubbleSortPassPerItem, Double, random, 128789249881025, 128789670933707, 421052682
bubbleSortPassPerItem, Double, random, 128789671096022, 128790083947254, 412851232
bubbleSortPassPerItem, Double, random, 128790084131453, 128790497847072, 413715619
bubbleSortPassPerItem, Double, random, 128790498005196, 128790912655215, 414650019
bubbleSortPassPerItem, Double, random, 128790912785609, 128791327630487, 414844878
bubbleSortPassPerItem, Double, random, 128791327762143, 128791742073286, 414311143
bubbleSortPassPerItem, Double, random, 128791742203119, 128792156351315, 414148196
bubbleSortPassPerItem, Double, random, 128792156482396, 128792570558486, 414076090
bubbleSortPassPerItem, Double, random, 128792570717418, 128792984798250, 414080832
bubbleSortPassPerItem, Double, random, 128792984923352, 128793402435403, 417512051
bubbleSortPassPerItem, Double, random, 128793402604408, 128793820866159, 418261751
bubbleSortPassPerItem, Double, random, 128793821014117, 128794241098232, 420084115
bubbleSortPassPerItem, Double, random, 128794241254388, 128794659818661, 418564273
bubbleSortPassPerItem, Double, random, 128794659946293, 128795077991543, 418045250
bubbleSortPassPerItem, Double, random, 128795078133306, 128795494166329, 416033023
bubbleSortPassPerItem, Double, random, 128795494300123, 128795908627096, 414326973
bubbleSortPassPerItem, Double, random, 128795908750566, 128796322957666, 414207100
bubbleSortPassPerItem, Double, random, 128796323095380, 128796737020276, 413924896
bubbleSortPassPerItem, Double, sorted, 128804547249924, 128804858949159, 311699235
bubbleSortPassPerItem, Double, sorted, 128804859295067, 128805171730232, 312435165
bubbleSortPassPerItem, Double, sorted, 128805171861730, 128805484575648, 312713918
bubbleSortPassPerItem, Double, sorted, 128805484723952, 128805797022141, 312298189
bubbleSortPassPerItem, Double, sorted, 128805797165633, 128806109781188, 312615555
bubbleSortPassPerItem, Double, sorted, 128806109903162, 128806422507354, 312604192
bubbleSortPassPerItem, Double, sorted, 128806422613464, 128806735112149, 312498685
bubbleSortPassPerItem, Double, sorted, 128806735228449, 128807047815295, 312586846
bubbleSortPassPerItem, Double, sorted, 128807047928503, 128807360625278, 312696775
bubbleSortPassPerItem, Double, sorted, 128807360735395, 128807673554118, 312818723
bubbleSortPassPerItem, Double, sorted, 128807673689822, 128807986549620, 312859798
bubbleSortPassPerItem, Double, sorted, 128807986686877, 128808299385348, 312698471
bubbleSortPassPerItem, Double, sorted, 128808299518854, 128808629611099, 330092245
bubbleSortPassPerItem, Double, sorted, 128808629746795, 128808942486556, 312739761
bubbleSortPassPerItem, Double, sorted, 128808942609078, 128809260539784, 317930706
bubbleSortPassPerItem, Double, sorted, 128809260651300, 128809574717939, 314066639
bubbleSortPassPerItem, Double, sorted, 128809574818571, 128809887586194, 312767623
bubbleSortPassPerItem, Double, sorted, 128809887753381, 128810201061944, 313308563
bubbleSortPassPerItem, Double, sorted, 128810201185494, 128810514257468, 313071974
bubbleSortPassPerItem, Double, sorted, 128810514374033, 128810827608354, 313234321
bubbleSortPassPerItem, Double, sorted, 128810827712122, 128811140636084, 312923962
bubbleSortPassPerItem, Double, sorted, 128811140758316, 128811453618621, 312860305
bubbleSortPassPerItem, Double, sorted, 128811453730826, 128811766647594, 312916768
bubbleSortPassPerItem, Double, sorted, 128811766774157, 128812079854058, 313079901
bubbleSortPassPerItem, Double, sorted, 128812079984856, 128812392961585, 312976729
bubbleSortPassPerItem, Double, sorted, 128812393076948, 128812706163187, 313086239
bubbleSortPassPerItem, Double, sorted, 128812706271288, 128813019569378, 313298090
bubbleSortPassPerItem, Double, sorted, 128813019696530, 128813333709245, 314012715
bubbleSortPassPerItem, Double, sorted, 128813333848281, 128813646630429, 312782148
bubbleSortPassPerItem, Double, sorted, 128813646734618, 128813959725218, 312990600
bubbleSortPassPerItem, Double, sorted, 128813959853054, 128814277641568, 317788514
bubbleSortPassPerItem, Double, sorted, 128814277756680, 128814608541514, 330784834
bubbleSortPassPerItem, Double, sorted, 128814608686107, 128814925654731, 316968624
bubbleSortPassPerItem, Double, sorted, 128814925785556, 128815242613977, 316828421
bubbleSortPassPerItem, Double, sorted, 128815242752717, 128815559572108, 316819391
bubbleSortPassPerItem, Double, sorted, 128815559720542, 128815873743781, 314023239
bubbleSortPassPerItem, Double, sorted, 128815873907185, 128816186836310, 312929125
bubbleSortPassPerItem, Double, sorted, 128816186987566, 128816499983679, 312996113
bubbleSortPassPerItem, Double, sorted, 128816500106011, 128816812931618, 312825607
bubbleSortPassPerItem, Double, sorted, 128816813066886, 128817126332503, 313265617
bubbleSortPassPerItem, Double, sorted, 128817126513721, 128817438903523, 312389802
bubbleSortPassPerItem, Double, sorted, 128817439023792, 128817751564116, 312540324
bubbleSortPassPerItem, Double, sorted, 128817751673484, 128818064562988, 312889504
bubbleSortPassPerItem, Double, sorted, 128818064684341, 128818393766194, 329081853
bubbleSortPassPerItem, Double, sorted, 128818393973836, 128818706440742, 312466906
bubbleSortPassPerItem, Double, sorted, 128818706558055, 128819019141990, 312583935
bubbleSortPassPerItem, Double, sorted, 128819019263823, 128819338423243, 319159420
bubbleSortPassPerItem, Double, sorted, 128819338587695, 128819652877427, 314289732
bubbleSortPassPerItem, Double, sorted, 128819653002112, 128819967460276, 314458164
bubbleSortPassPerItem, Double, sorted, 128819967587847, 128820281390159, 313802312
bubbleSortPassPerItem, Double, sorted, 128820281522790, 128820594503013, 312980223
bubbleSortPassPerItem, Double, sorted, 128820594623016, 128820907651190, 313028174
bubbleSortPassPerItem, Double, sorted, 128820907784986, 128821220779852, 312994866
bubbleSortPassPerItem, Double, sorted, 128821220911481, 128821534112723, 313201242
bubbleSortPassPerItem, Double, sorted, 128821534220183, 128821847204809, 312984626
bubbleSortPassPerItem, Double, sorted, 128821847357484, 128822160519962, 313162478
bubbleSortPassPerItem, Double, sorted, 128822160644456, 128822473586950, 312942494
bubbleSortPassPerItem, Double, sorted, 128822473716567, 128822786438520, 312721953
bubbleSortPassPerItem, Double, sorted, 128822786567711, 128823099543173, 312975462
bubbleSortPassPerItem, Double, sorted, 128823099672253, 128823412475545, 312803292
bubbleSortPassPerItem, Double, sorted, 128823412599628, 128823725997896, 313398268
bubbleSortPassPerItem, Double, sorted, 128823726156721, 128824038972074, 312815353
bubbleSortPassPerItem, Double, sorted, 128824039074022, 128824358716619, 319642597
bubbleSortPassPerItem, Double, sorted, 128824358879615, 128824671788650, 312909035
bubbleSortPassPerItem, Double, sorted, 128824671895221, 128824984947500, 313052279
bubbleSortPassPerItem, Double, sorted, 128824985070936, 128825298204668, 313133732
bubbleSortPassPerItem, Double, sorted, 128825298331072, 128825611177074, 312846002
bubbleSortPassPerItem, Double, sorted, 128825611290589, 128825924579184, 313288595
bubbleSortPassPerItem, Double, sorted, 128825924707082, 128826237745520, 313038438
bubbleSortPassPerItem, Double, sorted, 128826237877846, 128826550657283, 312779437
bubbleSortPassPerItem, Double, sorted, 128826550771480, 128826881484339, 330712859
bubbleSortPassPerItem, Double, sorted, 128826881611593, 128827195374039, 313762446
bubbleSortPassPerItem, Double, sorted, 128827195511691, 128827508511621, 312999930
bubbleSortPassPerItem, Double, sorted, 128827508631944, 128827821722583, 313090639
