bubbleSortPassPerItem, Character, random, 129463057823076, 129463375747557, 317924481
bubbleSortPassPerItem, Character, random, 129463375935303, 129463693921450, 317986147
bubbleSortPassPerItem, Character, random, 129463694082760, 129464012176937, 318094177
bubbleSortPassPerItem, Character, random, 129464012313810, 129464332591472, 320277662
bubbleSortPassPerItem, Character, random, 129464332757947, 129464650975793, 318217846
bubbleSortPassPerItem, Character, random, 129464651091638, 129464969103830, 318012192
bubbleSortPassPerItem, Character, random, 129464969252988, 129465287149172, 317896184
bubbleSortPassPerItem, Character, random, 129465287264464, 129465605036515, 317772051
bubbleSortPassPerItem, Character, random, 129465605149333, 129465923440074, 318290741
bubbleSortPassPerItem, Character, random, 129465923575701, 129466241503250, 317927549
bubbleSortPassPerItem, Character, random, 129466241628920, 129466559637277, 318008357
bubbleSortPassPerItem, Character, random, 129466559758718, 129466877873368, 318114650
bubbleSortPassPerItem, Character, random, 129466878049137, 129467195998872, 317949735
bubbleSortPassPerItem, Character, random, 129467196138748, 129467514111927, 317973179
bubbleSortPassPerItem, Character, random, 129467514246121, 129467832136106, 317889985
bubbleSortPassPerItem, Character, random, 129467832247837, 129468150133521, 317885684
bubbleSortPassPerItem, Character, random, 129468150268598, 129468468195798, 317927200
bubbleSortPassPerItem, Character, random, 129468468323688, 129468786219747, 317896059
bubbleSortPassPerItem, Character, random, 129468786343264, 129469104449068, 318105804
bubbleSortPassPerItem, Character, random, 129469104584198, 129469423969402, 319385204
bubbleSortPassPerItem, Character, random, 129469424092472, 129469742222304, 318129832
bubbleSortPassPerItem, Character, random, 129469742366477, 129470060375590, 318009113
bubbleSortPassPerItem, Character, random, 129470060515914, 129470378413556, 317897642
bubbleSortPassPerItem, Character, random, 129470378523597, 129470696388274, 317864677
bubbleSortPassPerItem, Character, random, 129470696530857, 129471014635353, 318104496
bubbleSortPassPerItem, Character, random, 129471014780367, 129471332796819, 318016452
bubbleSortPassPerItem, Character, random, 129471332940616, 129471651117904, 318177288
bubbleSortPassPerItem, Character, random, 129471651261033, 129471980899032, 329637999
bubbleSortPassPerItem, Character, random, 129471981090033, 129472302642617, 321552584
bubbleSortPassPerItem, Character, random, 129472302768298, 129472630095685, 327327387
bubbleSortPassPerItem, Character, random, 129472630266292, 129472957575867, 327309575
bubbleSortPassPerItem, Character, random, 129472957708371, 129473285533210, 327824839
bubbleSortPassPerItem, Character, random, 129473285720351, 129473612854940, 327134589
bubbleSortPassPerItem, Character, random, 129473612991653, 129473939254191, 326262538
bubbleSortPassPerItem, Character, random, 129473939411286, 129474258343273, 318931987
bubbleSortPassPerItem, Character, random, 129474258447454, 129474594244842, 335797388
bubbleSortPassPerItem, Character, random, 129474594383375, 129474915705297, 321321922
bubbleSortPassPerItem, Character, random, 129474915839625, 129475236240924, 320401299
bubbleSortPassPerItem, Character, random, 129475236383859, 129475557132432, 320748573
bubbleSortPassPerItem, Character, sorted, 129483769974942, 129484098025665, 328050723
bubbleSortPassPerItem, Character, sorted, 129484098182266, 129484431995217, 333812951
bubbleSortPassPerItem, Character, sorted, 129484432135344, 129484761196833, 329061489
bubbleSortPassPerItem, Character, sorted, 129484761381776, 129485089487029, 328105253
bubbleSortPassPerItem, Character, sorted, 129485089601974, 129485417640958, 328038984
bubbleSortPassPerItem, Character, sorted, 129485417768353, 129485746320992, 328552639
bubbleSortPassPerItem, Character, sorted, 129485746438701, 129486074359282, 327920581
bubbleSortPassPerItem, Character, sorted, 129486074459014, 129486403220246, 328761232
bubbleSortPassPerItem, Character, sorted, 129486403330168, 129486731918995, 328588827
bubbleSortPassPerItem, Character, sorted, 129486732035569, 129487060067253, 328031684
bubbleSortPassPerItem, Character, sorted, 129487060191615, 129487388192583, 328000968
bubbleSortPassPerItem, Character, sorted, 129487388331372, 129487716407476, 328076104
bubbleSortPassPerItem, Character, sorted, 129487716524356, 129488046941676, 330417320
bubbleSortPassPerItem, Character, sorted, 129488047064090, 129488374967277, 327903187
bubbleSortPassPerItem, Character, sorted, 129488375075584, 129488703341249, 328265665
