bubbleSortPassPerItem, Byte, random, 129920562224186, 129920885330350, 323106164
bubbleSortPassPerItem, Byte, random, 129920885462389, 129921205826517, 320364128
bubbleSortPassPerItem, Byte, random, 129921206009922, 129921525295756, 319285834
bubbleSortPassPerItem, Byte, random, 129921525469387, 129921844445875, 318976488
bubbleSortPassPerItem, Byte, random, 129921844566320, 129922163764726, 319198406
bubbleSortPassPerItem, Byte, random, 129922163897084, 129922482719426, 318822342
bubbleSortPassPerItem, Byte, random, 129922482850865, 129922802284244, 319433379
bubbleSortPassPerItem, Byte, random, 129922802419527, 129923121401805, 318982278
bubbleSortPassPerItem, Byte, random, 129923121530465, 129923440363531, 318833066
bubbleSortPassPerItem, Byte, random, 129923440499711, 129923759599044, 319099333
bubbleSortPassPerItem, Byte, random, 129923759759810, 129924078454132, 318694322
bubbleSortPassPerItem, Byte, random, 129924078582550, 129924400965163, 322382613
bubbleSortPassPerItem, Byte, random, 129924401161022, 129924721916370, 320755348
bubbleSortPassPerItem, Byte, random, 129924722054711, 129925045626271, 323571560
bubbleSortPassPerItem, Byte, random, 129925045778160, 129925369174057, 323395897
bubbleSortPassPerItem, Byte, random, 129925369332568, 129925692973902, 323641334
bubbleSortPassPerItem, Byte, random, 129925693103824, 129926015397666, 322293842
bubbleSortPassPerItem, Byte, random, 129926015550133, 129926335393168, 319843035
bubbleSortPassPerItem, Byte, random, 129926335556291, 129926654688607, 319132316
bubbleSortPassPerItem, Byte, random, 129926654818369, 129926973814416, 318996047
bubbleSortPassPerItem, Byte, random, 129926973940996, 129927292644701, 318703705
bubbleSortPassPerItem, Byte, random, 129927292763036, 129927611684737, 318921701
bubbleSortPassPerItem, Byte, random, 129927611809332, 129927930790045, 318980713
bubbleSortPassPerItem, Byte, random, 129927930980740, 129928250000109, 319019369
bubbleSortPassPerItem, Byte, random, 129928250167174, 129928569234357, 319067183
bubbleSortPassPerItem, Byte, random, 129928569391803, 129928888355256, 318963453
bubbleSortPassPerItem, Byte, random, 129928888480320, 129929207518779, 319038459
bubbleSortPassPerItem, Byte, random, 129929207640450, 129929541700119, 334059669
bubbleSortPassPerItem, Byte, random, 129929541851494, 129929860573013, 318721519
bubbleSortPassPerItem, Byte, random, 129929860714335, 129930180127312, 319412977
bubbleSortPassPerItem, Byte, random, 129930180263368, 129930499171666, 318908298
bubbleSortPassPerItem, Byte, random, 129930499340198, 129930818361022, 319020824
bubbleSortPassPerItem, Byte, random, 129930818497318, 129931137411827, 318914509
bubbleSortPassPerItem, Byte, random, 129931137558032, 129931456462468, 318904436
bubbleSortPassPerItem, Byte, random, 129931456602505, 129931775629071, 319026566
bubbleSortPassPerItem, Byte, random, 129931775750671, 129932094624116, 318873445
bubbleSortPassPerItem, Byte, random, 129932094746014, 129932414357450, 319611436
bubbleSortPassPerItem, Byte, random, 129932414487266, 129932733269632, 318782366
bubbleSortPassPerItem, Byte, random, 129932733390301, 129933052197820, 318807519
bubbleSortPassPerItem, Byte, random, 129933052354052, 129933371503817, 319149765
bubbleSortPassPerItem, Byte, random, 129933371692242, 129933690800760, 319108518
bubbleSortPassPerItem, Byte, sorted, 129941769881909, 129942091158242, 321276333
bubbleSortPassPerItem, Byte, sorted, 129942091318034, 129942421258076, 329940042
bubbleSortPassPerItem, Byte, sorted, 129942421383964, 129942747418824, 326034860
bubbleSortPassPerItem, Byte, sorted, 129942747586865, 129943078044337, 330457472
bubbleSortPassPerItem, Byte, sorted, 129943078250770, 129943416952109, 338701339
bubbleSortPassPerItem, Byte, sorted, 129943417118124, 129943741587481, 324469357
bubbleSortPassPerItem, Byte, sorted, 129943741716244, 129944064649200, 322932956
bubbleSortPassPerItem, Byte, sorted, 129944064792921, 129944390462622, 325669701
bubbleSortPassPerItem, Byte, sorted, 129944390581036, 129944723539354, 332958318
bubbleSortPassPerItem, Byte, sorted, 129944723662212, 129945050322656, 326660444
bubbleSortPassPerItem, Byte, sorted, 129945050496678, 129945371361139, 320864461
bubbleSortPassPerItem, Byte, sorted, 129945371506494, 129945690873460, 319366966
bubbleSortPassPerItem, Byte, sorted, 129945690993463, 129946010861625, 319868162
bubbleSortPassPerItem, Byte, sorted, 129946011006266, 129946330517803, 319511537
bubbleSortPassPerItem, Byte, sorted, 129946330658678, 129946650420313, 319761635
bubbleSortPassPerItem, Byte, sorted, 129946650559685, 129946971170382, 320610697
bubbleSortPassPerItem, Byte, sorted, 129946971297641, 129947297454095, 326156454
bubbleSortPassPerItem, Byte, sorted, 129947297604996, 129947624856944, 327251948
bubbleSortPassPerItem, Byte, sorted, 129947624993193, 129947950462112, 325468919
bubbleSortPassPerItem, Byte, sorted, 129947950604677, 129948272232436, 321627759
bubbleSortPassPerItem, Byte, sorted, 129948272363875, 129948593195051, 320831176
bubbleSortPassPerItem, Byte, sorted, 129948593318754, 129948913561308, 320242554
bubbleSortPassPerItem, Byte, sorted, 129948913694788, 129949235747810, 322053022
bubbleSortPassPerItem, Byte, sorted, 129949235902774, 129949565816780, 329914006
bubbleSortPassPerItem, Byte, sorted, 129949565968549, 129949919905160, 353936611
bubbleSortPassPerItem, Byte, sorted, 129949920063120, 129950244840267, 324777147
bubbleSortPassPerItem, Byte, sorted, 129950244973258, 129950567615338, 322642080
bubbleSortPassPerItem, Byte, sorted, 129950567763566, 129950897825701, 330062135
bubbleSortPassPerItem, Byte, sorted, 129950897977970, 129951223046386, 325068416
bubbleSortPassPerItem, Byte, sorted, 129951223172604, 129951558836300, 335663696
bubbleSortPassPerItem, Byte, sorted, 129951558955234, 129951878311334, 319356100
bubbleSortPassPerItem, Byte, sorted, 129951878410338, 129952197810755, 319400417
bubbleSortPassPerItem, Byte, sorted, 129952197914893, 129952522429321, 324514428
bubbleSortPassPerItem, Byte, sorted, 129952522581616, 129952870289167, 347707551
bubbleSortPassPerItem, Byte, sorted, 129952870548750, 129953209050306, 338501556
bubbleSortPassPerItem, Byte, sorted, 129953209213815, 129953542178651, 332964836
bubbleSortPassPerItem, Byte, sorted, 129953542321636, 129953871991493, 329669857
bubbleSortPassPerItem, Byte, sorted, 129953872192530, 129954193640845, 321448315
bubbleSortPassPerItem, Byte, sorted, 129954193761183, 129954519413201, 325652018
bubbleSortPassPerItem, Byte, sorted, 129954519575522, 129954835577609, 316002087
bubbleSortPassPerItem, Byte, sorted, 129954835711124, 129955148113764, 312402640
bubbleSortPassPerItem, Byte, sorted, 129955148228831, 129955461660139, 313431308
bubbleSortPassPerItem, Byte, sorted, 129955461782788, 129955773981487, 312198699
bubbleSortPassPerItem, Byte, sorted, 129955774129467, 129956083886075, 309756608
bubbleSortPassPerItem, Byte, sorted, 129956084029005, 129956386967181, 302938176
bubbleSortPassPerItem, Byte, sorted, 129956387090310, 129956689545122, 302454812
bubbleSortPassPerItem, Byte, sorted, 129956689682662, 129956991314504, 301631842
bubbleSortPassPerItem, Byte, sorted, 129956991472405, 129957293911824, 302439419
bubbleSortPassPerItem, Byte, sorted, 129957294067243, 129957595485720, 301418477
bubbleSortPassPerItem, Byte, sorted, 129957595630672, 129957898122830, 302492158
bubbleSortPassPerItem, Byte, sorted, 129957898243405, 129958202502315, 304258910
bubbleSortPassPerItem, Byte, sorted, 129958202631636, 129958503869369, 301237733
bubbleSortPassPerItem, Byte, sorted, 129958503985591, 129958764868921, 260883330
bubbleSortPassPerItem, Byte, sorted, 129958764985152, 129959023826358, 258841206
bubbleSortPassPerItem, Byte, sorted, 129959024037032, 129959335659465, 311622433
bubbleSortPassPerItem, Byte, sorted, 129959335779977, 129959640240432, 304460455
bubbleSortPassPerItem, Byte, sorted, 129959640413589, 129959897927049, 257513460
bubbleSortPassPerItem, Byte, sorted, 129959898042755, 129960157315387, 259272632
bubbleSortPassPerItem, Byte, sorted, 129960157483941, 129960454577317, 297093376
bubbleSortPassPerItem, Byte, sorted, 129960454704512, 129960772399524, 317695012
bubbleSortPassPerItem, Byte, sorted, 129960772509801, 129961096228516, 323718715
bubbleSortPassPerItem, Byte, sorted, 129961096370623, 129961421977222, 325606599
bubbleSortPassPerItem, Byte, sorted, 129961422105187, 129961739380344, 317275157
bubbleSortPassPerItem, Byte, sorted, 129961739504471, 129962052541798, 313037327
bubbleSortPassPerItem, Byte, sorted, 129962052651417, 129962370430233, 317778816
bubbleSortPassPerItem, Byte, sorted, 129962370538728, 129962688903484, 318364756
bubbleSortPassPerItem, Byte, sorted, 129962689005703, 129963007889004, 318883301
bubbleSortPassPerItem, Byte, sorted, 129963008008457, 129963327250901, 319242444
bubbleSortPassPerItem, Byte, sorted, 129963327415085, 129963646550187, 319135102
bubbleSortPassPerItem, Byte, sorted, 129963646679311, 129963969152658, 322473347
bubbleSortPassPerItem, Byte, sorted, 129963969276088, 129964296860143, 327584055
bubbleSortPassPerItem, Byte, sorted, 129964297004134, 129964625267579, 328263445
bubbleSortPassPerItem, Byte, sorted, 129964625390299, 129964955046951, 329656652
bubbleSortPassPerItem, Byte, sorted, 129964955169666, 129965313363599, 358193933
bubbleSortPassPerItem, Byte, sorted, 129965313510409, 129965636745064, 323234655
bubbleSortPassPerItem, Byte, sorted, 129965636870461, 129965957255741, 320385280
bubbleSortPassPerItem, Byte, sorted, 129965957367703, 129966299637414, 342269711
bubbleSortPassPerItem, Byte, sorted, 129966299785131, 129966620748051, 320962920
bubbleSortPassPerItem, Byte, sorted, 129966620887733, 129966940629602, 319741869
bubbleSortPassPerItem, Byte, sorted, 129966940753677, 129967259186501, 318432824
bubbleSortPassPerItem, Byte, sorted, 129967259315814, 129967578078613, 318762799
bubbleSortPassPerItem, Byte, sorted, 129967578252656, 129967892226944, 313974288
bubbleSortPassPerItem, Byte, sorted, 129967892340191, 129968203923514, 311583323
bubbleSortPassPerItem, Byte, sorted, 129968204094548, 129968514123863, 310029315
bubbleSortPassPerItem, Byte, sorted, 129968514240052, 129968824763608, 310523556
bubbleSortPassPerItem, Byte, sorted, 129968824876342, 129969129600806, 304724464
bubbleSortPassPerItem, Byte, sorted, 129969129699236, 129969424494295, 294795059
bubbleSortPassPerItem, Byte, sorted, 129969424620841, 129969716900820, 292279979
bubbleSortPassPerItem, Byte, sorted, 129969717032434, 129969976018712, 258986278
bubbleSortPassPerItem, Byte, sorted, 129969976138577, 129970234649443, 258510866
bubbleSortPassPerItem, Byte, sorted, 129970234779480, 129970491767170, 256987690
bubbleSortPassPerItem, Byte, sorted, 129970491888750, 129970752395690, 260506940
