bubbleSortPassPerItem, Integer, random, 126976621775495, 126976982493856, 360718361
bubbleSortPassPerItem, Integer, random, 126976983805802, 126977353299273, 369493471
bubbleSortPassPerItem, Integer, random, 126977353635607, 126977720603050, 366967443
bubbleSortPassPerItem, Integer, random, 126977720824265, 126978078310378, 357486113
bubbleSortPassPerItem, Integer, random, 126978078496184, 126978440437240, 361941056
bubbleSortPassPerItem, Integer, random, 126978440629410, 126978824327772, 383698362
bubbleSortPassPerItem, Integer, random, 126978824516167, 126979218506761, 393990594
bubbleSortPassPerItem, Integer, random, 126979218753026, 126979588506420, 369753394
bubbleSortPassPerItem, Integer, random, 126979588699606, 126979958529984, 369830378
bubbleSortPassPerItem, Integer, random, 126979958718253, 126980331293874, 372575621
bubbleSortPassPerItem, Integer, random, 126980331569962, 126980722060874, 390490912
bubbleSortPassPerItem, Integer, random, 126980722305858, 126981114755616, 392449758
bubbleSortPassPerItem, Integer, random, 126981115096888, 126981480193040, 365096152
bubbleSortPassPerItem, Integer, random, 126981480455352, 126981834705181, 354249829
bubbleSortPassPerItem, Integer, random, 126981834936339, 126982204837450, 369901111
bubbleSortPassPerItem, Integer, random, 126982205096402, 126982565829838, 360733436
bubbleSortPassPerItem, Integer, random, 126982566043139, 126982926397696, 360354557
bubbleSortPassPerItem, Integer, random, 126982926664498, 126983327974612, 401310114
bubbleSortPassPerItem, Integer, random, 126983328264029, 126983694071455, 365807426
bubbleSortPassPerItem, Integer, random, 126983694436591, 126984065992202, 371555611
bubbleSortPassPerItem, Integer, random, 126984066277825, 126984467486178, 401208353
bubbleSortPassPerItem, Integer, random, 126984467877890, 126984844178192, 376300302
bubbleSortPassPerItem, Integer, random, 126984844387083, 126985209879520, 365492437
bubbleSortPassPerItem, Integer, random, 126985210069850, 126985569498775, 359428925
bubbleSortPassPerItem, Integer, random, 126985569737213, 126985939525977, 369788764
bubbleSortPassPerItem, Integer, random, 126985939820552, 126986306696331, 366875779
bubbleSortPassPerItem, Integer, random, 126986307041226, 126986674505705, 367464479
bubbleSortPassPerItem, Integer, random, 126986674710376, 126987033937042, 359226666
bubbleSortPassPerItem, Integer, random, 126987034129595, 126987386733281, 352603686
bubbleSortPassPerItem, Integer, random, 126987386905969, 126987745725292, 358819323
bubbleSortPassPerItem, Integer, random, 126987745934337, 126988120268149, 374333812
bubbleSortPassPerItem, Integer, random, 126988120438659, 126988536512836, 416074177
bubbleSortPassPerItem, Integer, random, 126988536723625, 126988926599590, 389875965
bubbleSortPassPerItem, Integer, random, 126988926822407, 126989317621902, 390799495
bubbleSortPassPerItem, Integer, random, 126989317765921, 126989674685549, 356919628
bubbleSortPassPerItem, Integer, random, 126989674853122, 126990044230634, 369377512
bubbleSortPassPerItem, Integer, random, 126990044398265, 126990405291105, 360892840
bubbleSortPassPerItem, Integer, random, 126990405449092, 126990765076662, 359627570
bubbleSortPassPerItem, Integer, random, 126990765283630, 126991122414761, 357131131
