bubbleSortPassPerItem, String, random, 127453473095982, 127455499085302, 2025989320
bubbleSortPassPerItem, String, random, 127455500671411, 127457678811510, 2178140099
bubbleSortPassPerItem, String, random, 127457679109807, 127460019607520, 2340497713
bubbleSortPassPerItem, String, random, 127460020041614, 127462308531127, 2288489513
bubbleSortPassPerItem, String, random, 127462308922573, 127464556684564, 2247761991
bubbleSortPassPerItem, String, random, 127464557340215, 127466666011672, 2108671457
bubbleSortPassPerItem, String, random, 127466666319962, 127468686562143, 2020242181
bubbleSortPassPerItem, String, random, 127468686965166, 127470656381925, 1969416759
bubbleSortPassPerItem, String, random, 127470656654516, 127472596812682, 1940158166
bubbleSortPassPerItem, String, random, 127472597251133, 127474559035417, 1961784284
bubbleSortPassPerItem, String, random, 127474559406716, 127476793501721, 2234095005
bubbleSortPassPerItem, String, random, 127476793765506, 127478846787650, 2053022144
bubbleSortPassPerItem, String, random, 127478847052423, 127480863554414, 2016501991
bubbleSortPassPerItem, String, random, 127480863847647, 127482888217995, 2024370348
bubbleSortPassPerItem, String, random, 127482888559622, 127484910951735, 2022392113
bubbleSortPassPerItem, String, random, 127484911407986, 127486818553850, 1907145864
bubbleSortPassPerItem, String, random, 127486818836542, 127488755454229, 1936617687
bubbleSortPassPerItem, String, random, 127488755723965, 127490729047717, 1973323752
bubbleSortPassPerItem, String, random, 127490729474497, 127492647320454, 1917845957
bubbleSortPassPerItem, String, random, 127492647815488, 127494651074488, 2003259000
bubbleSortPassPerItem, String, random, 127494651491991, 127496573609792, 1922117801
bubbleSortPassPerItem, String, random, 127496573965847, 127498510267297, 1936301450
bubbleSortPassPerItem, String, random, 127498510652337, 127500489481247, 1978828910
bubbleSortPassPerItem, String, random, 127500489734477, 127502442021823, 1952287346
bubbleSortPassPerItem, String, random, 127502442290379, 127504429038357, 1986747978
bubbleSortPassPerItem, String, random, 127504429397788, 127506317406636, 1888008848
bubbleSortPassPerItem, String, random, 127506317688111, 127508296536870, 1978848759
bubbleSortPassPerItem, String, random, 127508296796746, 127510275834944, 1979038198
bubbleSortPassPerItem, String, random, 127510276329670, 127512172897958, 1896568288
bubbleSortPassPerItem, String, random, 127512173120745, 127514109488181, 1936367436
bubbleSortPassPerItem, String, random, 127514109871979, 127516122050497, 2012178518
bubbleSortPassPerItem, String, random, 127516122337252, 127518070999671, 1948662419
bubbleSortPassPerItem, String, random, 127518071291734, 127520058924813, 1987633079
bubbleSortPassPerItem, String, random, 127520059212473, 127521999492234, 1940279761
bubbleSortPassPerItem, String, random, 127521999737244, 127523959188708, 1959451464
bubbleSortPassPerItem, String, random, 127523959432039, 127525969468327, 2010036288
bubbleSortPassPerItem, String, random, 127525969708962, 127527911173133, 1941464171
bubbleSortPassPerItem, String, random, 127527911457651, 127529937272215, 2025814564
bubbleSortPassPerItem, String, random, 127529937508903, 127531855581925, 1918073022
bubbleSortPassPerItem, String, random, 127531855905702, 127533774560032, 1918654330
bubbleSortPassPerItem, String, random, 127533774784163, 127535799092702, 2024308539
bubbleSortPassPerItem, String, random, 127535799459519, 127537722733954, 1923274435
bubbleSortPassPerItem, String, random, 127537722972671, 127539818585641, 2095612970
bubbleSortPassPerItem, String, random, 127539819058566, 127541748935453, 1929876887
bubbleSortPassPerItem, String, random, 127541749153481, 127543712443839, 1963290358
bubbleSortPassPerItem, String, random, 127543712692767, 127545757604068, 2044911301
bubbleSortPassPerItem, String, random, 127545757975289, 127547737459147, 1979483858
bubbleSortPassPerItem, String, random, 127547737684340, 127549890355825, 2152671485
bubbleSortPassPerItem, String, random, 127549890597901, 127551937065588, 2046467687
bubbleSortPassPerItem, String, random, 127551937341861, 127554035663972, 2098322111
bubbleSortPassPerItem, String, random, 127554036014047, 127556119389097, 2083375050
bubbleSortPassPerItem, String, random, 127556119631227, 127558106517046, 1986885819
bubbleSortPassPerItem, String, random, 127558106772996, 127560238015771, 2131242775
bubbleSortPassPerItem, String, random, 127560238351145, 127562215714202, 1977363057
bubbleSortPassPerItem, String, random, 127562215912001, 127564298810517, 2082898516
bubbleSortPassPerItem, String, random, 127564299057045, 127566265016549, 1965959504
bubbleSortPassPerItem, String, random, 127566265305305, 127568247243209, 1981937904
bubbleSortPassPerItem, String, random, 127568247461434, 127570304743453, 2057282019
bubbleSortPassPerItem, String, random, 127570304955396, 127572261441001, 1956485605
bubbleSortPassPerItem, String, random, 127572261796906, 127574349701854, 2087904948
bubbleSortPassPerItem, String, random, 127574349918435, 127576290077125, 1940158690
bubbleSortPassPerItem, String, random, 127576290290079, 127578234813177, 1944523098
bubbleSortPassPerItem, String, random, 127578235039888, 127580283447385, 2048407497
bubbleSortPassPerItem, String, random, 127580283772652, 127582223461314, 1939688662
bubbleSortPassPerItem, String, random, 127582223700142, 127584201931516, 1978231374
bubbleSortPassPerItem, String, random, 127584202181080, 127586115794447, 1913613367
bubbleSortPassPerItem, String, random, 127586116076943, 127588014270806, 1898193863
bubbleSortPassPerItem, String, random, 127588014494507, 127590014345643, 1999851136
